GEOID,NAME,median_household_income,median_household_income_diff_md,median_household_income_diff_md_rank,children_under6_pop,children_under6_pop_diff_md,children_under6_pop_diff_md_rank,children_under6_pct,children_under6_pct_diff_md,children_under6_pct_diff_md_rank,children_under15_pop,children_under15_pop_diff_md,children_under15_pop_diff_md_rank,children_under15_pct,children_under15_pct_diff_md,children_under15_pct_diff_md_rank,children_under6_caregivers_inlaborforce_pop,children_under6_caregivers_inlaborforce_pop_diff_md,children_under6_caregivers_inlaborforce_pop_diff_md_rank,children_under6_caregivers_inlaborforce_pct,children_under6_caregivers_inlaborforce_pct_diff_md,children_under6_caregivers_inlaborforce_pct_diff_md_rank,laborforce_pop,laborforce_pop_diff_md,laborforce_pop_diff_md_rank,laborforce_pct,laborforce_pct_diff_md,laborforce_pct_diff_md_rank,total_pop,total_pop_diff_md,total_pop_diff_md_rank,cosine_sim_md,pct_joint_rank_md
01,Alabama,66659,36246,45,327786,71691,11,0.0635527587011185,0.000228650861374941,4,927568,192950,11,0.179841437043922,0.000936975760428949,4,226251,78278,13,0.690239973641339,0.0720792587550191,31,2463085,971161,12,0.592068099664002,0.0867191442401488,47,5157699,1105521,10,0.999575629697446,29
02,Alaska,95665,7240,12,51333,348144,41,0.069356453502276,0.00557504393978253,37,144548,975970,42,0.195300033912824,0.0163955726293306,38,32456,272073,46,0.632263845869129,0.130055386527229,50,390591,3043655,44,0.666443148837281,0.0123440950668696,10,740133,5523087,42,0.995882798162013,49
04,Arizona,81486,21419,21,452545,53068,7,0.0596837353528917,0.00409767420960176,31,1286304,165786,7,0.169643742654025,0.00926071862946773,23,299803,4726,3,0.66248218409219,0.0998370483041685,42,3802740,368494,8,0.613958525662573,0.0648287182415771,42,7582384,1319164,11,0.999729854075353,19
05,Arkansas,62106,40799,48,204297,195180,21,0.0661507715760564,0.00236936201356296,17,571328,549190,21,0.184994336789112,0.00608987550561846,15,135700,168829,25,0.664229039095043,0.0980901933013152,41,1461175,1973071,25,0.589848236217834,0.0889390076863161,48,3088354,3174866,23,0.999431742208865,32
06,California,100149,2756,5,2403574,2004097,52,0.0609560490111615,0.00282536055133189,19,6841363,5720845,52,0.17350098575336,0.00540347553013293,14,1648383,1343854,52,0.685804972095721,0.0765142603006375,33,20603340,17169094,52,0.642053735299353,0.0367335086047974,26,39431263,33168043,52,0.999655496100774,22
08,Colorado,97113,5792,8,353742,45735,6,0.0593776510727497,0.00440375848974369,33,982680,137838,6,0.164948550514696,0.0139559107687969,34,241057,63472,10,0.681448626400032,0.0808706059963266,36,3368049,66197,2,0.68708252642771,0.00829528252356004,7,5957494,305726,4,0.998128887889863,46
09,Connecticut,96049,6856,11,211824,187653,20,0.0576381014887067,0.00614330807378666,38,587491,533027,20,0.159858495173832,0.0190459661096611,40,163951,140578,19,0.773996336581313,0.0116771041849546,6,2011120,1423126,17,0.661061184777107,0.0177260591270438,13,3675069,2588151,18,0.999621267893219,25
10,Delaware,87534,15371,14,65176,334301,37,0.06195926104436,0.00182214851813345,13,175222,945296,39,0.166573978745471,0.0123304825380218,31,50785,253744,38,0.779197864244507,0.016878631848149,8,540535,2893711,40,0.626051797364614,0.0527354465395361,38,1051917,5211303,39,0.998723442424608,41
11,District of Columbia,109707,6802,10,46968,352509,43,0.0668821644713421,0.0031007549088487,23,111672,1008846,44,0.159020291918832,0.0198841693646608,41,33386,271143,45,0.710824391074774,0.0514948413215839,22,416702,3017544,43,0.712913126640274,0.0341258827361237,25,702250,5560970,43,0.998143393717189,45
12,Florida,77735,25170,27,1303388,903911,50,0.0557665587108453,0.00801485085164808,42,3674854,2554336,50,0.157231738626399,0.0216727226570942,44,908476,603947,50,0.697011173955875,0.0653080584404833,27,11810121,8375875,50,0.607754924848606,0.0710323190555446,44,23372215,17108995,50,0.999932529911439,9
13,Georgia,79991,22914,24,705694,306217,33,0.0631161524166528,0.00066525714584062,7,2054400,933882,36,0.183742278558088,0.00483781727459504,10,489736,185207,28,0.693977843087797,0.0683413893085609,28,5787115,2352869,30,0.644990318093051,0.0337969258110993,24,11180878,4917658,36,0.999611318192067,26
15,Hawaii,100745,2160,4,86342,313135,34,0.0597048983989168,0.00407651116357657,30,244672,875846,33,0.169189003046719,0.0097154582367745,25,56439,248090,36,0.653667971554979,0.108651260841379,47,759273,2674973,35,0.641014752390488,0.037772491513662,28,1446146,4817074,33,0.998837222747573,40
16,Idaho,81166,21739,22,130866,268611,28,0.0653800748294256,0.00159866526693217,12,378141,742377,28,0.188917571226092,0.0100131099425993,27,74664,229865,31,0.5705378020265,0.191781430369858,51,1007851,2426395,32,0.63235963995347,0.0464276039506808,34,2001619,4261601,30,0.993207897130713,51
17,Illinois,83211,19694,19,767328,367851,47,0.0603712400742776,0.00341016948821581,24,2184245,1063727,48,0.171850342064985,0.0070541192185086,16,563730,259201,41,0.734666270486676,0.0276529619096824,12,6784086,3349840,47,0.654669372032964,0.0241178718711864,17,12710158,6446938,47,0.999999127064479,2
18,Indiana,71959,30946,42,467422,67945,10,0.0675048290254214,0.00372341946292802,27,1289705,169187,9,0.186258489155904,0.00735402787241124,18,319878,15349,7,0.68434519556204,0.0779740368343179,34,3555783,121537,3,0.641601597389554,0.0371856465145961,27,6924275,661055,6,0.999390617985674,34
